"Registration Number","Name of Company (Traditional Chinese)","Name of Company (English)","Area (Traditional Chinese)","Area (English)","District (Traditional Chinese)","District (English)","Business Address (Traditional Chinese)","Business Address (English)","Telephone Number","Workshop Type","Service Scope","Expiry Date","Review Status","Latitude","Longitude","Types of Vehicles Serviced (Traditional Chinese)","Types of Vehicles Serviced (English)","Types of Services Provided by the Workshop (Traditional Chinese)","Types of Services Provided by the Workshop (English)","Sundays (Open)","Sundays (Closed)","Mondays (Open)","Mondays (Closed)","Tuesdays (Open)","Tuesdays(Closed)","Wednesdays (Open)","Wednesdays(Closed)","Thursdays (Open)","Thursdays(Closed)","Fridays (Open)","Fridays (Closed)","Saturdays (Open)","Saturdays (Closed)","Public Holidays (Open)","Public Holidays (Closed)","Statutory Holidays (Open)","Statutory Holidays (Closed)","Opening Hours"
"VMW000204","宏開汽車服務","WANG HOI MOTOR SERVICE","九龍","Kowloon","深水埗","SHAM SHUI PO","荔枝角醫局西街1037號地下","G/F, No. 1037, Yee Kuk West Street, Lai Chi Kok","23870608","3","IC","2027-09-18","","22.3390151","114.147279","的士","Taxi","一般車輛維修 (機械和電器工作), 石油氣車輛維修, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles, Engine oil changing","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW000226","發記汽車服務","FAT KEE AUTO SERVICES","新界","N.T.","元朗","YUEN LONG","良業街8號嘉華工業大廈地下6號舖","G/F, Kar Wah Industrial Building, No. 8, Leung Yip Street, ","24422912","3","IC","2027-12-28","","22.44971","114.02873","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","Mo 09:00-20:00, Tu 09:00-20:00, We 09:00-20:00, Th 09:00-20:00, Fr 09:00-20:00, Sa 09:00-20:00"
"VMW000248","食物環境衛生署 - 南昌辦事處暨車房","Food and Environment Hygiene Department - Nam Cheong Offices and Vehicle Depot","九龍","Kowloon","深水埗","SHAM SHUI PO","欽州街西87號地下","G/F, No. 87, Yen Chow Street West, ","23092026","2","IC,EVL","2027-12-28","","22.32426","114.1544","私家車, 輕型貨車, 中型貨車, 重型貨車,其他","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle,Others","一般車輛維修 (機械和電器工作), 車身修理","General vehicle maintenance (mechanical and electrical work), Body works","","","","","","","","","","","","","","","","","","",""
"VMW000259","食物環境衛生署 - 大埔車房","FEHD - Tai Po Depot","新界","N.T.","大埔","TAI PO","汀麗路8號大埔車房地下","G/F, Tai Po Depot, No. 8, Ting Lai Road, ","23092026","3","IC","2027-12-28","","22.45776","114.16909","中型貨車, 重型貨車,其他","Medium Goods Vehicle, Heavy Goods Vehicle,Others","一般車輛維修 (機械和電器工作), 電動及油壓配件, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Electric and hydrauic operated accessories, Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW000260","昇暉汽車服務有限公司","SING FAI AUTOMOBILE SERVICE CO. LIMITED","九龍","Kowloon","黃大仙","WONG TAI SIN","大有街32號泰力工業中心地下5號舖","Shop 5, G/F, Laurels Industrial Centre, No. 32, Tai Yau Street, ","23506028","3","IC","2028-03-02","","22.3372574","114.1972516","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","17:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-17:00"
"VMW000271","劉氏機械有限公司","LAU'S MOTORS ENGINEERING COMPANY LIMITED","新界","N.T.","北區","NORTH DISTRICT","上水蕉徑營盤村25B號","No. 25B, Ying Pun Village, Tsiu Keng, Sheung Shui","","3","IC","2027-12-28","","22.474723","114.110694","私家車, 中型貨車, 重型貨車","Private Car, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW000306","康達汽車服務公司","CANDAS AUTOMOBILE SERVICE COMPANY","新界","N.T.","葵青","KWAI TSING","葵涌葵德街16-26號金德工業大廈一座地下17號舖","Flat 17, G/F, Block 1, Golden Industrial Building, No. 16-26, Kwai Tak Street, Kwai Chung","21179206","3","IC","2029-02-19","","22.3531962","114.1233175","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW000317","基信汽車服務有限公司","CARSON AUTO SERVICE COMPANY LIMITED","香港","Hong Kong","南區","SOUTHERN DISTRICT","鴨脷洲鴨脷洲大街18號東寶閣地下7號舖","Shop 7, G/F, Toho Court, No. 18, Ap Lei Chau Main Street, Ap Lei Chau","25801981","4","IC","2028-02-20","","22.24463","114.15711","私家車","Private Car","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW000340","恒信汽車公司","HENG SHUN MOTOR CO.","香港","Hong Kong","東區","EASTERN DISTRICT","永泰道70號柴灣工業城2期地下G1地舖","Flat G1, G/F, Chai Wan Industrial City Phase 2, No. 70, Wing Tai Road, ","25034981","3","IC","2028-07-21","","22.2685","114.24243","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW000351","忠成汽車服務有限公司","CHUNG SHING MOTOR SERVICE COMPANY LIMITED","香港","Hong Kong","東區","EASTERN DISTRICT","柴灣永泰道70號柴灣工業城2期地下G1舖","Shop G1, G/F, Chai Wan Industrial City Phase 2, No. 70, Wing Tai Road, Chai Wan","25776339","2","IC,EVL","2027-12-20","","22.26852","114.24242","私家車","Private Car","一般車輛維修 (機械和電器工作), 電動車/混能車(高壓電部分維修)","General vehicle maintenance (mechanical and electrical work), Maintenance for high-voltage parts of electric vehicles/ hybrid vehicles","R","R","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","R","R","Mo 10:00-19:00, Tu 10:00-19:00, We 10:00-19:00, Th 10:00-19:00, Fr 10:00-19:00, Sa 10:00-19:00"
"VMW000362","機電工程署 - 車輛工程分部 (九龍灣)","Electrical and Mechanical Services Department - VESD/KB","九龍","Kowloon","觀塘","KWUN TONG","九龍灣啟成街3號機電工程署總部車輛部主廠","Vehicle Main Workshop, EMSD Headquarter, No. 3, Kai Shing Street, Kowloon Bay","31554170","2","IC,EVH","2028-04-15","","22.32592","114.20356","私家車, 小巴, 巴士, 輕型貨車, 中型貨車, 重型貨車, 電單車,其他","Private Car, Light Bus, Bus, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Motorcycle,Others","一般車輛維修 (機械和電器工作), 石油氣車輛維修, 電動車/混能車(高壓電部分維修), 車身修理, 車身噴漆, 汽車玻璃, 輪胎服務, 電池服務, 空調服務, 尾板, 電動及油壓配件, 拖車服務, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles, Maintenance for high-voltage parts of electric vehicles/ hybrid vehicles, Body works, Spray painting, Glazing, Tyre, Battery, Air-conditioning, Tail lift, Electric and hydrauic operated accessories, Towing service, Engine oil changing","R","R","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00","R","R","R","R","R","R","Mo 08:00-18:00, Tu 08:00-18:00, We 08:00-18:00, Th 08:00-18:00, Fr 08:00-18:00"
"VMW000395","嘉榮汽車有限公司","KA WING MOTOR COMPANY LIMITED","香港","Hong Kong","中西區","CENTRAL AND WESTERN DISTRICT","西環卑路乍街5號C地下","G/F, No. 5C, Belcher's Street, Sai Wan","28198787","4","IC","2027-12-28","","22.28525","114.13221","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW000408","健威汽車有限公司","GRANVILLE MOTOR COMPANY LIMITED","新界","N.T.","元朗","YUEN LONG","八鄉黃竹園B114號","No.114, Wong Chuk Yuen B, Pat Heung","24888299","3","IC","2028-02-20","","22.43188","114.10721","私家車, 輕型貨車, 中型貨車, 重型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW000419","科程汽車工程有限公司","UNIONACE AUTO BODY AND REPAIR CO LTD","新界","N.T.","元朗","YUEN LONG","洪水橋田厦路41E","No. 41E, Tin Ha Road, Hung Shui Kiu","24484383","2","IC","2028-05-26","","22.436677","113.9916762","私家車, 小巴, 巴士, 輕型貨車, 中型貨車, 重型貨車","Private Car, Light Bus, Bus, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作), 車身修理","General vehicle maintenance (mechanical and electrical work), Body works","","","","","","","","","","","","","","","","","","",""
"VMW000420","合和汽車公司","HOP WO MOTOR COMPANY","九龍","Kowloon","黃大仙","WONG TAI SIN","銀鳳街49號地下","G/F, No. 49, Ngan Fung Street, ","23549738","4","IC","2027-12-20","","22.34564","114.19796","私家車","Private Car","一般車輛維修 (機械和電器工作), 車身修理","General vehicle maintenance (mechanical and electrical work), Body works","","","","","","","","","","","","","","","","","","",""
"VMW000431","東方汽車修理廠","EAST AUTO SERVICE","新界","N.T.","元朗","YUEN LONG","廈村田廈路 DD 125, LOT 1700RP","DD 125, LOT 1700RP Tin Ha Rd, Ha Tsuen, ","24753366","3","IC","2027-12-20","","22.4467446","113.9942377","私家車","Private Car","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW000442","駿達汽車服務有限公司","CHUN TAT MOTORS SERVICES COMPANY LIMITED","九龍","Kowloon","觀塘","KWUN TONG","通明街31號地下F舖","Shop F, G/F, No. 31, Tung Ming Street, ","21912012","4","IC","2027-12-28","","22.31671","114.22258","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW000453","雄記車身工程","HUNG KEE AUTO MOTOR PARTS","新界","N.T.","元朗","YUEN LONG","八鄉彭家村9號 DD 110, LOT 764","DD 110, LOT 764 No. 9, Pang Ka Tsuen, ","24882317","3","IC","2027-12-20","","22.4413829","114.0753618","私家車, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","其他","Others","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW000464","食物環境衛生署 - 威菲車房","FEHD - Whitefield Depot","香港","Hong Kong","灣仔","WAN CHAI","景明道11號威菲車房地下","G/F, Whitfield Depot, No. 11, King Ming Road, ","23092026","2","IC","2027-12-28","","22.28684","114.18981","私家車, 輕型貨車,其他","Private Car, Light Goods Vehicle,Others","一般車輛維修 (機械和電器工作), 車身修理, 輪胎服務, 電池服務, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Body works, Tyre, Battery, Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW000486","風行汽車有限公司","FUNG HANG MOTORS LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣靠背壟道89號地下","G/F, No. 89, Kau Pui Lung Road, To Kwa Wan","27150083","4","IC","2028-04-15","","22.31931","114.18647","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW000497","亞米高車房","AMIGO GARAGE","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣駿發街21號地下","G/F, No. 21, Tsun Fat Street, To Kwa Wan","","4","IC","2027-12-20","","22.32115","114.19334","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW000500","新記汽車維修服務有限公司","SUN KEE MOTOR REPAIR SERVICE LIMITED","新界","N.T.","北區","NORTH DISTRICT","粉嶺軍地高埔北村1號","No. 1, Ko Po North Tsuen, Kwan Tei, Fanling","","3","IC","2028-02-20","","22.511045","114.1619682","輕型貨車, 中型貨車, 重型貨車","Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW000522","金門建築有限公司","GAMMON CONSTRUCTION LIMITED","新界","N.T.","西貢","SAI KUNG","將軍澳工業村駿宏街21號","No. 21, Chun Wang Street, Tseung Kwan O Industrial Estate, ","34619040","2","IC,EVL","2028-03-24","","22.2835","114.26774","私家車, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","","","","","","","","","","","","","","","","","","","","",""
"VMW000533","保華汽車工程公司","PO WAH AUTO REPAIRING SERVICE CO","香港","Hong Kong","中西區","CENTRAL AND WESTERN DISTRICT","西營盤干諾道西168號地下2號D","Flat 2D, G/F, No. 168, Connaught Road West, Sai Ying Pun","25462233","4","IC","2028-07-13","","22.28784","114.13859","私家車, 的士, 輕型貨車","Private Car, Taxi, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW000544","佳捷汽車服務公司","NICESPEED AUTO SERVICE COMPANY","香港","Hong Kong","東區","EASTERN DISTRICT","柴灣豐業街12號 ‎啓力工業中心B座地下18號地舖","Shop 18, G/F, Block B, Kailey Industrial Centre, No. 12, Fung Yip Street, Chai Wan","29601881","3","IC","2027-09-28","","22.26729","114.24466","的士","Taxi","一般車輛維修 (機械和電器工作), 石油氣車輛維修","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","Su 09:00-18:00,Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW000555","富力電單車行(香港)有限公司","RICO LAND AUTO BIKE (H.K.) CO. LIMITED","九龍","Kowloon","黃大仙","WONG TAI SIN","新蒲崗彩虹道218-220號地下A舖","Flat A, G/F, No. 218-220, Choi Hung Road, San Po Kong","28909738","3","IC","2027-12-28","","22.3384625","114.2006241","電單車","Motorcycle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","R","R","Mo 10:00-19:00, Tu 10:00-19:00, We 10:00-19:00, Th 10:00-19:00, Fr 10:00-19:00, Sa 10:00-19:00"
"VMW000566","忠誠汽車電器電池冷氣配件工程","CHUN SING MOTORS","新界","N.T.","元朗","YUEN LONG","鳳攸東街好順意大廈地下16號舖","Flat 16, G/F, Ho Shun Yee Building, Fung Yau Street East, ","24790268","4","IC","2027-12-20","","22.44312","114.03469","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW000577","榮基汽車服務","GLORY MOTORS SERVICE","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣鵬程街7號地下","G/F, No. 7, Pang Ching Street, To Kwa Wan","","4","IC,EVL","2028-03-02","","22.32124","114.19219","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW000599","友榮汽車公司","YAU WING MOTORS CO.","新界","N.T.","葵青","KWAI TSING","大連排道21-33號宏達工業中心地下2號舖","Shop 2, G/F, Block A, Vanta Industrial Centre, No. 21-33, Tai Lin Pai Road, ","26101238","2","IC","2027-12-20","","22.36473","114.13437","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW000602","捷興汽車服務有限公司","SPEEDWELL AUTOMOBILE COMPANY LIMITED","新界","N.T.","屯門","TUEN MUN","新慶村338號","No. 338, San Hing Tsuen, ","24655288","2","IC","2027-12-28","","22.41697","113.98019","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 車身修理, 車身噴漆","General vehicle maintenance (mechanical and electrical work), Body works, Spray painting","","","","","","","","","","","","","","","","","","",""
"VMW000624","通運汽車冷氣工程公司","TUNG WUN AIR-CONDITIONER MOTORS CO","新界","N.T.","元朗","YUEN LONG","安康路13號安康樓地下6號舖","Shop 6, G/F, On Hong Building, No. 13, On Hong Road, ","24761338","4","IC","2027-09-28","","22.44234","114.02347","私家車, 的士","Private Car, Taxi","","","","","","","","","","","","","","","","","","","","",""
"VMW000635","合眾車房有限公司","HOP CHUNG GARAGE LIMITED","香港","Hong Kong","東區","EASTERN DISTRICT","北角清華街5號地庫","Basement, No. 5, Ching Wah Street, North Point","25719788","4","IC","2027-12-28","","22.28906","114.19707","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW000646","SIMON'S MOTORCYCLISTS WORKSHOP","SIMON'S MOTORCYCLISTS WORKSHOP","九龍","Kowloon","黃大仙","WONG TAI SIN","六合街11-13號安隆工廠大厦7字樓B舖","Flat 7B, On Loong Industrial Building, No. 11-13, Luk Hop Street, ","92360269","3","IC","2029-01-29","","22.337423","114.1992572","電單車","Motorcycle","","","","","","","","","","","","","","","","","","","","",""
"VMW000657","永仕貿易機械工程有限公司","WINGS TRADE MACHINERY ENGINEERING LIMITED","新界","N.T.","元朗","YUEN LONG","青山公路 DD121, LOT 185CRP & 191","DD121, LOT 185CRP & 191 Castle Peak Road, ","24451612","2","IC","2027-12-28","","22.4377343","114.0040795","輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW000668","銳灞名車維修中心有限公司","RFM AUTO SERVICE LIMITED","新界","N.T.","葵青","KWAI TSING","葵涌和宜合道159-165號華寶工業大廈地下B舖","Flat B, G/F, Grand Industrial Building, No. 159-165, Wo Yi Hop Road, Kwai Chung","35291677","3","IC","2027-11-14","","22.37111","114.13671","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW000680","駿業汽車服務公司","CHUN YIP AUTO SERVICES CO.","九龍","Kowloon","油尖旺","YAU TSIM MONG","大角咀福全街17-19號福康大樓地下D室","Flat D, G/F, Fook Hong Building, No. 17-19, Fuk Tsun Street, Tai Kok Tsui","27799782","4","IC","2027-12-28","","22.32066","114.16489","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:30","18:00","09:30","18:00","09:30","18:00","09:30","18:00","09:30","18:00","09:30","18:00","R","R","R","R","Mo 09:30-18:00, Tu 09:30-18:00, We 09:30-18:00, Th 09:30-18:00, Fr 09:30-18:00, Sa 09:30-18:00"
